"",7644261,0000000248174,Milk Chocolate Eyeballs net 104gram
"",7576100,0000000248167,Milk Chocolate Pumpkins net 104gram
"",Xmas Confectionerys (0863),,
"",1202762,0000001202762,[Christmas 2016] by Sainsbury's 11 Chocolate Mini Characters 38gram
"",7638846,0000000116992,[Christmas 2016] By Sainsbury's Chocolate penguin stickpack  40gram
"",7572252,0000001848335,[Christmas 2016] Chocolate tool set  80gram
"",7638866,0000000117043,[Christmas 2016] By Sainsbury's Skateboard tin with milk chocolate trainers 45gram
"",7700757,0000000168793,[Christmas 2016] Westie and Scottie chocolate Stick pack 40gram
"",6033396,0000001101515,by Sainsbury's 12 Peppermint Flavoured Candy Canes 150gram
"",6324654,0000001204292,[Christmas 2016] by Sainsbury's 14 Milk Chocolate Tree Decorations 168g
"",7802288,0000000242011,[Christmas 2016] Chocolate Make up set 80gram
"",6033339,0000001100990,[Christmas 2016] by Sainsbury's Orange and Lemon Jellies Slices  150gram
"",7307643,0000001735789,By Sainsbury's Chocolate penguin lollipop. 40gram
"",7638876,0000000246873,Milk Chocolate Santas net 96gram
"",6031564,0000000246828,Milk Chocolate Snowmen and Snowballs net 90gram
"",CONVENIENCE PRODUCE,,
"",PREPARED FRUIT (0890),,
"",7807181,0000000244763,by Sainsbury's Classic Fruit Salad 140gram
"",7807406,0000000245036,by Sainsbury's melon  140gram
"",7807423,0000000245043,by Sainsbury's pineapple  140gram
"",7807143,0000000244749,by Sainsbury's Cool Green Fruit Salad  220gram
"",7807135,0000000244732,by Sainsbury's Ruby Fruit Salad 220gram
"",7807131,0000000244725,"by Sainsbury's Mango, Plum and Blackberry Fruit Salad 150gram"
"",CULLNRIES & SPC RCK,,
"",Chilled FreeFrom (0103),,
"",7800600,0000000239646,Deliciously FreeFrom Greek-Style 200gram
"",7800608,0000000239653,Deliciously FreeFrom Garlic & Herb 170gram
"",7800610,0000000239660,Deliciously FreeFrom Original 170gram
"",7800594,0000000239639,Deliciously FreeFrom Cheddar-Style 200gram
"",7807989,0000000245531,Free From Lemon Tart 105gram
"",7807996,0000000245555,Free From Apple Pie 170gram
