"itemID","name","description","category","price","restaurantID","vegetarian","vegan","milk","eggs","peanuts","treeNuts","soy","wheatGluten","fish","shellFish"
"null","Jalapenos","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Peking Duck Spring Rolls","null","Menu Item","null","cineworld",,,"n","n","n","n","c","c","n","n"
"null","Peking duck spring rolls","null","Ingredient","null","cineworld",,,"n","n","n","n","c","c","n","n"
"null","Hoi sin sauce","null","Ingredient","null","cineworld",,,"n","n","n","n","c","c","n","n"
"null","Crispy Chilli Beef","null","Menu Item","null","cineworld",,,"n","c","n","n","n","c","c","n"
"null","Crispy chilli beef","null","Ingredient","null","cineworld",,,"n","c","n","n","n","c","n","n"
"null","Sweet & sour sauce","null","Ingredient","null","cineworld",,,"n","n","n","n","n","c","c","n"
"null","Thai Fish Cakes","null","Menu Item","null","cineworld",,,"n","c","n","n","n","n","c","c"
"null","Thai fish cakes","null","Ingredient","null","cineworld",,,"n","c","n","n","n","n","c","c"
"null","Sweet chilli sauce","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Houmous & Flatbread","null","Menu Item","null","cineworld",,,"n","n","n","n","n","c","n","n"
"null","Arctic flatbread","null","Ingredient","null","cineworld",,,"n","n","n","n","n","c","n","n"
"null","100g houmous","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Artisan Bread","null","Menu Item","null","cineworld",,,"c","n","n","c","n","c","n","n"
"null","Garlic & Rosemary bread","null","Ingredient","null","cineworld",,,"c","n","n","c","n","c","n","n"
"null","Fruit & nut bread","null","Ingredient","null","cineworld",,,"c","n","n","c","n","c","n","n"
"null","40ml olive oil","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","40ml balsamic vinegar","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Gourmet Hot Dog","null","Menu Item","null","cineworld",,,"c","c","n","n","n","c","n","n"
"null","Gourmet Meister Dog","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","6 Brioche roll","null","Ingredient","null","cineworld",,,"c","c","n","n","n","c","n","n"
"null","Gourmet American Tomato Relish","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Gourmet American Mustard","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Crispy onions","null","Ingredient","null","cineworld",,,"n","n","n","n","n","c","n","n"
"null","Pickled cucumber spears with dill","null","Ingredient","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Gourmet Jelly Beans","null","Menu Item","null","cineworld",,,"n","n","n","n","n","c","n","n"
"null","Milk Chocolate Raisins","null","Menu Item","null","cineworld",,,"c","n","c","c","c","n","n","n"
"null","Pistachio Nuts","null","Menu Item","null","cineworld",,,"n","n","n","c","n","n","n","n"
"null","Smoky Chilli Nuts","null","Menu Item","null","cineworld",,,"n","n","c","n","n","n","n","n"
"null","Chilli Puffs","null","Menu Item","null","cineworld",,,"n","n","n","n","c","c","c","n"
"null","Habas Fritas","null","Menu Item","null","cineworld",,,"n","n","n","n","n","c","n","n"
"null","Mixed Olives","null","Menu Item","null","cineworld",,,"n","n","n","n","n","n","n","n"
"null","Country Carrot Cake","null","Menu Item","null","cineworld",,,"c","c","n","c","c","c","n","n"
"null","Luxury Chocolate Cake","null","Menu Item","null","cineworld",,,"c","c","n","c","c","c","n","n"
"null","Victoria Sponge Cake","null","Menu Item","null","cineworld",,,"c","c","n","c","c","c","n","n"
"null","Coffee & Walnut Cake","null","Menu Item","null","cineworld",,,"c","c","n","c","c","c","n","n"
"null","Lemon & Ginger Cake","null","Menu Item","null","cineworld",,,"c","c","n","n","n","c","n","n"
