""
"","WINTER 2017Fresh & Packaged FoodNutritional InformationPortionProduct DescriptionSize (g)",,,,,,,,,,,,,,,,,,,,,,,,
"",,,Vegetarian,Vegan,"WheatFree","GlutenFree",Milk Free,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit
"",Sandwiches / Wraps / Baguettes,,,,,,,,,,,,,,,,,,,,,,,,
"",Sure as Eggs is Eggs,193,Y,N,N,N,N,992,1916,238,460,13,26,1.9,3.7,17,33,1.2,2.4,3.3,6.4,10,20,0.7,1.4
"",Smoked Chicken & Maple Bacon Sandwich,201,N,N,N,N,N,785,1578,187,376,4.8,10,1.3,2.6,23,46,2.6,5.2,2.4,4.8,12,24,1.0,2.0
"",Vietnamese Chicken Wrap,201,N,N,N,N,Y,807,1622,192,386,4.9,9.8,3.2,6.5,26,53.0,3.9,7.7,2.2,4.3,9.5,19.0,0.83,1.70
"",Falafel Wrap,214,Y,N,Y,Y,N,1001,2142,240,514,12.0,26.0,1.3,2.7,26.0,55.0,5.1,11.0,4.2,9.0,4.6,9.8,0.90,2.00
"",Croque Monsieur Baguette,204,N,N,N,N,N,874,1792,208,426,6.8,14,3.8,7.8,24,48,0.8,1.6,1.2,2.5,13,26,1.4,2.9
"","Tomato, mozzarella & red pesto style bageutte",192,Y,N,N,N,N,934,1793,222,426,8.0,15.0,3.6,6.9,26,50,1.9,3.6,2.0,3.8,11,21,0.73,1.40
"",Tuna Baguette,205,N,N,N,N,N,981,2011,233,478,9.3,19,3.3,6.7,25,51,1.1,2.3,1.2,2.5,12,25,1.0,2.0
"",Roast Beef & Blue Cheese Brioche Baguette,180,N,N,N,N,N,1155,2079,275,495,11.0,20,6.3,11.0,30,54,4.5,8.1,1.3,2.3,14,25,0.8,1.4
"",Hot Boxes,,,,,,,,,,,,,,,,,,,,,,,,
