"Name","Category","Vegetarian","Vegan","Wheat","Rye","Barley","Oat","Gluten","Soya","Egg","Milk","Fish","Crustacean","Mollusc","Sulphite","Sesame","Celery","Mustard","Peanut","Lupin","Tree Nuts"
"Free Range Egg","Cold Sandwiches and Salads","c","n","c","n","c","c","n","n","c","n","n","n","n","n","n","n","n","n","n","n"
"BLT","Cold Sandwiches and Salads","n","n","c","n","c","n","c","n","c","c","c","n","n","n","n","n","n","n","n","n"
"Bacon, Egg and Cheese Bagel","Cold Sandwiches and Salads","n","n","c","c","c","n","c","n","c","c","n","n","n","n","n","n","n","n","n","n"
"Roast Chicken Salad Sandwich","Cold Sandwiches and Salads","n","n","n","n","n","n","n","n","c","c","n","n","n","n","n","n","c","n","n","n"
"Fruit Teacake (without butter)","Paninis, Toasties, Hot Wraps and Toasted Products","c","n","c","n","n","n","c","c","c","c","n","n","n","n","c","n","c","n","n","c"
"Crumpets (without butter)","Paninis, Toasties, Hot Wraps and Toasted Products","c","n","c","n","n","n","c","c","n","c","n","n","n","n","n","n","n","n","n","n"
"Pancakes (No Toppings)","Paninis, Toasties, Hot Wraps and Toasted Products","c","n","c","n","n","n","c","c","c","c","n","n","n","n","n","n","n","n","n","n"
"Bacon Roll","Paninis, Toasties, Hot Wraps and Toasted Products","n","n","c","n","n","n","c","c","n","c","n","n","n","n","n","n","n","n","n","n"
"Breakfast Bloomer","Paninis, Toasties, Hot Wraps and Toasted Products","n","n","c","c","c","c","n","c","c","c","n","n","n","n","c","n","n","n","n","n"
"British Ham And Emmenthal Croissant","Paninis, Toasties, Hot Wraps and Toasted Products","n","n","c","n","n","n","c","n","c","c","n","n","n","n","n","n","n","n","n","n"
"White Toast (Without Butter)","Paninis, Toasties, Hot Wraps and Toasted Products","c","n","c","n","n","n","c","n","c","c","n","n","n","n","n","n","n","n","n","n"
"Brown Toast (Without Butter)","Paninis, Toasties, Hot Wraps and Toasted Products","c","n","c","c","c","n","c","n","n","n","n","n","n","n","n","n","n","n","n","n"
"British Ham & Cheese Panini","Paninis, Toasties, Hot Wraps and Toasted Products","n","n","c","n","c","n","c","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Italian Mozzarella, Tomato & Basil Panini","Paninis, Toasties, Hot Wraps and Toasted Products","c","n","c","n","c","n","c","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Tuna Melt Panini","Paninis, Toasties, Hot Wraps and Toasted Products","n","n","c","c","c","c","n","c","c","c","c","n","n","n","n","n","c","n","n","n"
"British Bacon & Brie Panini","Paninis, Toasties, Hot Wraps and Toasted Products","n","n","c","n","c","n","c","n","n","c","n","n","n","c","n","n","n","n","n","n"
"Goats' Cheese & Sweet Chilli Chutney Panini","Paninis, Toasties, Hot Wraps and Toasted Products",,,,,,,"n",,,,,,,,,,,,,
"British Ham & Cheese Toastie","Paninis, Toasties, Hot Wraps and Toasted Products","n","n","c","n","n","n","c","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Cheddar And Slow Roasted Tomato Toastie","Paninis, Toasties, Hot Wraps and Toasted Products","c","n","c","n","n","n","c","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Emmenthal And Mushroom Toastie","Paninis, Toasties, Hot Wraps and Toasted Products","c","n","c","n","n","n","c","n","n","c","n","n","n","n","n","n","n","n","n","n"
"British Chicken And Bacon Toastie","Paninis, Toasties, Hot Wraps and Toasted Products","n","n","c","n","n","n","c","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Cumberland Sausage With Red Onion Toastie","Paninis, Toasties, Hot Wraps and Toasted Products","n","n","c","n","n","n","c","n","n","c","n","n","n","c","n","n","c","n","n","n"
"Wiltshire Ham & Mature Cheddar Toastie","Paninis, Toasties, Hot Wraps and Toasted Products",,,,,,,"n",,,,,,,,,,,,,
"BBQ Pulled Pork Toastie","Paninis, Toasties, Hot Wraps and Toasted Products","n","n","c","n","n","n","c","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Halloumi & Roasted Pepper Focaccia","Paninis, Toasties, Hot Wraps and Toasted Products","c","n","c","n","n","n","c","n","c","c","n","n","n","c","n","n","n","n","n","n"
"Roast Chicken Fajita Wrap","Paninis, Toasties, Hot Wraps and Toasted Products","n","n","c","n","n","n","c","n","n","c","n","n","n","c","n","n","n","n","n","n"
"Chicken & Chorizo Sourdough Panini","Paninis, Toasties, Hot Wraps and Toasted Products","n","n","c","n","c","n","c","c","n","c","n","n","n","n","n","n","c","n","n","n"
"Sausage Bap","Paninis, Toasties, Hot Wraps and Toasted Products","n","n","c","n","n","n","c","n","c","c","n","n","n","c","n","n","n","n","n","n"
"Croissant (60725)","Pastries","c","n","c","n","n","n","c","c","c","c","n","n","n","n","c","n","c","n","n","c"
"Chocolate Twist (60727)","Pastries","c","n","c","n","n","n","c","c","c","c","n","n","n","n","c","n","c","n","n","c"
"Pain Aux Raisins (60728)","Pastries","c","n","c","n","n","n","c","c","c","c","n","n","n","n","c","n","c","n","n","c"
"Pain Au Chocolat (61349)","Pastries","c","n","c","n","n","n","c","c","c","c","n","n","n","n","c","n","c","n","n","c"
"Almond Croissant (61358)","Pastries","c","n","c","n","n","n","c","c","c","c","n","n","n","n","n","n","n","n","n","c"
"Plain Croissant (60981)","Pastries","c","n","c","n","n","n","c","c","c","c","n","n","n","n","c","n","n","n","n","c"
"Pain Au Raisin (60983)","Pastries","c","n","c","n","n","n","c","c","c","c","n","n","n","n","c","n","n","n","n","c"
"Chocolate Twist (60984)","Pastries","c","n","c","n","n","n","c","c","c","c","n","n","n","n","c","n","n","n","n","c"
