"itemID","name","description","category","price","restaurantID","vegetarian","vegan","milk","eggs","peanuts","treeNuts","soy","wheatGluten","fish","shellFish"
54,"Bacon Roll",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","n","n","c","n","n","n","c","c","n","n"
55,"Breakfast Bloomer",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","n","n","c","c","n","n","c","n","n","n"
56,"British Ham And Emmenthal Croissant",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","n","n","c","c","n","n","n","c","n","n"
57,"White Toast (Without Butter)",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","c","n","c","c","n","n","n","c","n","n"
58,"Brown Toast (Without Butter)",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","c","n","n","n","n","n","n","c","n","n"
59,"British Ham & Cheese Panini",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","n","n","c","n","n","n","n","c","n","n"
60,"Italian Mozzarella, Tomato & Basil Panini",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","c","n","c","n","n","n","n","c","n","n"
61,"Tuna Melt Panini",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","n","n","c","c","n","n","c","n","c","n"
62,"British Bacon & Brie Panini",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","n","n","c","n","n","n","n","c","n","n"
63,"Goats' Cheese & Sweet Chilli Chutney Panini",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa",,,,,,,,,,
64,"British Ham & Cheese Toastie",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","n","n","c","n","n","n","n","c","n","n"
65,"Cheddar And Slow Roasted Tomato Toastie",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","c","n","c","n","n","n","n","c","n","n"
66,"Emmenthal And Mushroom Toastie",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","c","n","c","n","n","n","n","c","n","n"
67,"British Chicken And Bacon Toastie",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","n","n","c","n","n","n","n","c","n","n"
68,"Cumberland Sausage With Red Onion Toastie",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","n","n","c","n","n","n","n","c","n","n"
69,"Wiltshire Ham & Mature Cheddar Toastie",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa",,,,,,,,,,
70,"BBQ Pulled Pork Toastie",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","n","n","c","n","n","n","n","c","n","n"
71,"Halloumi & Roasted Pepper Focaccia",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","c","n","c","c","n","n","n","c","n","n"
72,"Roast Chicken Fajita Wrap",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","n","n","c","n","n","n","n","c","n","n"
73,"Chicken & Chorizo Sourdough Panini",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","n","n","c","n","n","n","c","c","n","n"
74,"Sausage Bap",,"Paninis, Toasties, Hot Wraps and Toasted Products",-1,"costa","n","n","c","c","n","n","n","c","n","n"
75,"Croissant (60725)",,"Pastries",-1,"costa","c","n","c","c","n","c","c","c","n","n"
76,"Chocolate Twist (60727)",,"Pastries",-1,"costa","c","n","c","c","n","c","c","c","n","n"
77,"Pain Aux Raisins (60728)",,"Pastries",-1,"costa","c","n","c","c","n","c","c","c","n","n"
78,"Pain Au Chocolat (61349)",,"Pastries",-1,"costa","c","n","c","c","n","c","c","c","n","n"
79,"Almond Croissant (61358)",,"Pastries",-1,"costa","c","n","c","c","n","c","c","c","n","n"
80,"Plain Croissant (60981)",,"Pastries",-1,"costa","c","n","c","c","n","c","c","c","n","n"
81,"Pain Au Raisin (60983)",,"Pastries",-1,"costa","c","n","c","c","n","c","c","c","n","n"
82,"Chocolate Twist (60984)",,"Pastries",-1,"costa","c","n","c","c","n","c","c","c","n","n"
83,"Pain Au Chocolat (61340)",,"Pastries",-1,"costa","c","n","c","c","n","c","c","c","n","n"
84,"Chocolate Twist (60079)",,"Pastries",-1,"costa","c","n","c","c","n","c","c","c","n","n"
85,"Almond Croissant (60080)",,"Pastries",-1,"costa","c","n","c","c","n","c","c","c","n","n"
86,"Butter Croissant (60081)",,"Pastries",-1,"costa","c","n","c","c","n","c","c","c","n","n"
87,"Pain Aux Raisins (60542)",,"Pastries",-1,"costa","c","n","c","c","n","c","c","n","n","n"
88,"Almond Croissant (60982)",,"Pastries",-1,"costa","c","n","c","c","n","c","n","c","n","n"
89,"Apples",,"Whole Fruit",-1,"costa","c","c","n","n","n","n","n","n","n","n"
90,"Bananas",,"Whole Fruit",-1,"costa","c","c","n","n","n","n","n","n","n","n"
91,"Salt Sachets",,"Food Extras",-1,"costa","c","c","n","n","n","n","n","n","n","n"
92,"Black Pepper Sachets",,"Food Extras",-1,"costa","c","c","n","n","n","n","n","n","n","n"
93,"Nutella Portion",,"Food Extras",-1,"costa","c","n","c","n","n","c","c","n","n","n"
94,"Salted Butter Portion",,"Food Extras",-1,"costa","c","n","c","n","n","n","n","n","n","n"
95,"HP Brown Sauce Sachet",,"Food Extras",-1,"costa","c","n","n","n","n","n","n","c","n","n"
96,"Tomato Ketchup Sachet",,"Food Extras",-1,"costa","c","n","n","n","n","n","n","n","n","n"
97,"Apples",,"Food Extras",-1,"costa","c","c","n","n","n","n","n","n","n","n"
98,"Bananas",,"Food Extras",-1,"costa","c","c","n","n","n","n","n","n","n","n"
99,"Marmite Portion",,"Food Extras",-1,"costa","c","c","n","n","n","n","n","n","n","n"
100,"Tiptree Strawberry Jam Portion",,"Food Extras",-1,"costa","c","c","n","n","n","n","n","n","n","n"
101,"Tiptree Marmalade Portion",,"Food Extras",-1,"costa","c","c","n","n","n","n","n","n","n","n"
102,"Tiptree Honey Portion",,"Food Extras",-1,"costa","c","n","n","n","n","n","n","n","n","n"
103,"Lyles Maple Syrup Sachets",,"Food Extras",-1,"costa","c","c","n","n","n","n","n","n","n","n"
104,"Cortado- Made With Skimmed Milk",,"Coffees Cortado",-1,"costa","c","n","c","n","n","n","n","n","n","n"
105,"Cortado- Made With Whole Milk- Solo Drink In",,"Coffees Cortado",-1,"costa","c","n","c","n","n","n","n","n","n","n"
106,"Cortado- Made With Whole Milk- Solo Takeaway",,"Coffees Cortado",-1,"costa","c","n","c","n","n","n","n","n","n","n"
107,"Cortado- Made With Soya Milk- Solo Drink In",,"Coffees Cortado",-1,"costa","c","c","n","n","n","c","c","n","n","n"
108,"Cortado- Made With Soya Milk- Solo Takeaway",,"Coffees Cortado",-1,"costa","c","c","n","n","n","c","c","n","n","n"
109,"Mocha Cortado - Made With Skimmed Milk - Drink In",,"Coffees Cortado",-1,"costa","c","n","c","n","n","n","n","n","n","n"
110,"Mocha Cortado - Made With Skimmed Milk – Takeaway",,"Coffees Cortado",-1,"costa","c","n","c","n","n","n","n","n","n","n"
111,"Mocha Cortado - Made With Whole Milk - Drink In",,"Coffees Cortado",-1,"costa","c","n","c","n","n","n","n","n","n","n"
112,"Mocha Cortado - Made With Whole Milk – Takeaway",,"Coffees Cortado",-1,"costa","c","n","c","n","n","n","n","n","n","n"
113,"Mocha Cortado - Made With Soya Milk - Drink In",,"Coffees Cortado",-1,"costa","c","n","c","n","n","c","c","n","n","n"
114,"Mocha Cortado - Made With Soya Milk - Takeaway",,"Coffees Cortado",-1,"costa","c","n","c","n","n","c","c","n","n","n"
115,"Mocha Italia Espresso- Solo Both",,"Mocha Italia Espresso",-1,"costa","c","c","n","n","n","n","n","n","n","n"
116,"Mocha Italia Espresso- Doppio Both",,"Mocha Italia Espresso",-1,"costa","c","c","n","n","n","n","n","n","n","n"
117,"Old Paradise Street Espresso- Solo Both",,"Old Paradise Street Espresso",-1,"costa","c","c","n","n","n","n","n","n","n","n"
118,"Old Paradise Street Espresso- Doppio Both",,"Old Paradise Street Espresso",-1,"costa","c","c","n","n","n","n","n","n","n","n"
119,"Decaffeinated Espresso- Solo Both",,"Decaffeinated Espresso",-1,"costa","c","c","n","n","n","n","n","n","n","n"
120,"Decaffeinated Espresso- Doppio Both",,"Decaffeinated Espresso",-1,"costa","c","c","n","n","n","n","n","n","n","n"
121,"Macchiato- Made With Skimmed Milk- Solo Both",,"Macchiato",-1,"costa","c","n","c","n","n","n","n","n","n","n"
122,"Macchiato- Made With Whole Milk- Solo Both",,"Macchiato",-1,"costa","c","n","c","n","n","n","n","n","n","n"
123,"Macchiato- Made With Soya Milk- Solo Both",,"Macchiato",-1,"costa","c","c","n","n","n","c","c","n","n","n"
124,"Babyccino With Marshmallow – Skimmed Milk",,"Babyccino With Marshmallow",-1,"costa","n","n","c","n","n","n","n","n","n","n"
125,"Babyccino With Marshmallow – Whole Milk",,"Babyccino With Marshmallow",-1,"costa","n","n","c","n","n","n","n","n","n","n"
126,"Babyccino With Marshmallow – Soya Milk",,"Babyccino With Marshmallow",-1,"costa","n","n","n","n","n","c","c","n","n","n"
127,"Chocolate Babyccino With Marshmallow - Skimmed Milk",,"Chocolate Babyccino With Marshmallow",-1,"costa","n","n","c","n","n","n","n","n","n","n"
128,"Chocolate Babyccino With Marshmallow - Whole Milk",,"Chocolate Babyccino With Marshmallow",-1,"costa","n","n","c","n","n","n","n","n","n","n"
129,"Chocolate Babyccino With Marshmallow - Soya Milk",,"Chocolate Babyccino With Marshmallow",-1,"costa","n","n","c","n","n","c","c","n","n","n"
130,"Chocolate Babyccino With Flake – Made With Skimmed Milk",,"Chocolate Babyccino With Flake",-1,"costa","c","n","c","n","n","n","n","n","n","n"
131,"Chocolate Babyccino With Flake – Made With Whole Milk",,"Chocolate Babyccino With Flake",-1,"costa","c","n","c","n","n","n","n","n","n","n"
132,"Chocolate Babyccino With Flake – Made With Soya Milk",,"Chocolate Babyccino With Flake",-1,"costa","c","n","c","n","n","c","c","n","n","n"
133,"Flat White- Made With Skimmed Milk- Primo Drink In",,"Flat White",-1,"costa","c","n","c","n","n","n","n","n","n","n"
